0 0 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..G..RRR  
1 1 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..G..RRR B99  
1 1 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..G..RRR O99  
1 1 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..G..RRR A99  
1 1 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..GRRR.. R98  
1 1 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PG..RRR P99  
1 1 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..G..RRR D99  
1 1 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..G..RRR P99  
1 1 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.G..RRR O99  
1 1 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..G.RRR. R99  
1 1 0 BB.C..DD.COP.AAQOPEE.QOPG.FQ..G.FRRR F99  
2 2 0 .BBC..DD.COPAA.QOPEEFQOPG.FQ..G..RRR A99 B99  
2 2 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..GRRR.. R98 B99  
2 2 0 BB.C..DD.COPAA.QOPEE.QOPG.FQ..G.FRRR F99 A99  
2 2 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..GRRR.. R98 A99  
2 2 0 BB.C..DD.CO..AAQO.EEFQOPG.FQ.PG.RRRP P98 R99  
2 2 0 BB.C..DD.COP.AAQOP.EEQOPG.FQ..G.FRRR E99 F99  
2 2 0 BBFC..DDFCOPAA.QOPEE.QOPG..Q..G..RRR F97 A99  
2 2 0 .BBC..DD.CO..AAQOPEEFQOPG.FQ.PG..RRR P99 B99  
2 2 0 BB.C..DDFCOPAAFQOPEE.QOPG..Q..G..RRR F98 A99  
2 2 0 BB.C..DD.COPAAFQOPEEFQOPG..Q..G..RRR F99 A99  
2 2 0 .BBC.PDD.COP.AAQOPEEFQO.G.FQ..G..RRR P99 B99  
2 2 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..GRRR.. R98 O99  
2 2 0 BB.C..DD.CO.AA.QOPEEFQOPG.FQ.PG..RRR P99 A99  
2 2 0 BB.C.PDD.COPAA.QOPEEFQO.G.FQ..G..RRR P99 A99  
2 2 0 .BBC..DD.C.P.AAQOPEEFQOPG.FQO.G..RRR O99 B99  
2 2 0 BB.C..DD.C.PAA.QOPEEFQOPG.FQO.G..RRR O99 A99  
2 2 0 BB.C...DDCOPAA.QOPEEFQOPG.FQ..G..RRR D99 A99  
2 2 0 .BBCO.DD.COP.AAQOPEEFQ.PG.FQ..G..RRR O99 B99  
2 2 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..G.RRR. R99 O99  
2 2 0 BB.C..DD.CO..AAQO.EEFQOPG.FQ.PGRRR.P P98 R98  
2 2 0 BB.C..DD.C.P.AAQOPEE.QOPG.FQO.G.FRRR F99 O99  
2 2 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.G.RRR. R99 O99  
2 2 0 BB.CO.DD.COP.AAQOPEE.Q.PG.FQ..G.FRRR F99 O99  
2 2 0 BB.C.PDD.COP.AAQOPEE.QO.G.FQ..G.FRRR F99 P99  
2 2 0 BB.C.PDD.C.P.AAQOPEEFQO.G.FQO.G..RRR O99 P99  
2 2 0 .BBC...DDCOP.AAQOPEEFQOPG.FQ..G..RRR D99 B99  
2 2 0 BB.CO.DD.COPAA.QOPEEFQ.PG.FQ..G..RRR A99 O99  
2 2 0 BB.C...DDCOP.AAQOPEE.QOPG.FQ..G.FRRR F99 D99  
2 2 0 BB.C.P.DDCOP.AAQOPEEFQO.G.FQ..G..RRR P99 D99  
2 2 0 BB.CO.DD.CO..AAQOPEEFQ.PG.FQ.PG..RRR P99 O99  
2 2 0 BB.C...DDC.P.AAQOPEEFQOPG.FQO.G..RRR O99 D99  
2 2 0 BB.C..DD.CO..AAQOPEE.QOPG.FQ.PG.FRRR F99 P99  
2 2 0 BB.COPDD.COP.AAQOPEEFQ..G.FQ..G..RRR P99 O99  
2 2 0 BB.C..DD.C...AAQOPEEFQOPG.FQOPG..RRR O99 P99  
2 2 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PG.RRR. R99 P99  
2 2 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..G.RRR. R99 P99  
2 2 0 BB.C...DDCO..AAQOPEEFQOPG.FQ.PG..RRR D99 P99  
2 2 0 BB.CO..DDCOP.AAQOPEEFQ.PG.FQ..G..RRR D99 O99  
2 2 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PGRRR.. P99 R98  
2 2 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..GRRR.. P99 R98  
2 2 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..G.RRR. R99 B99  
2 2 0 BB.C..DD.C.P.AAQ.PEEFQOPG.FQO.GRRRO. O98 R98  
2 2 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..G.RRR. R99 D99  
2 2 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.GRRR.. O99 R98  
2 2 0 .BBC..DD.COP.AAQOPEE.QOPG.FQ..G.FRRR F99 B99  
2 2 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..GRRR.. D99 R98  
2 2 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..G.RRR. R99 A99  
4 4 0 BBFCOPDDFCOPAA.QOPEE.Q..G..Q..G..RRR F97 O99 P99 A99  
4 4 0 BB.C..DDFCO.AAFQO.EE.QOPG..Q.PG.RRRP F98 A99 P98 R99  
4 4 0 .BBCO.DD.CO.AA.QOPEEFQ.PG.FQ.PG..RRR B99 O99 P99 A99  
4 4 0 BBFC..DDFCO.AA.QO.EE.QOPG..Q.PG.RRRP F97 A99 P98 R99  
4 4 0 BB.COPDD.COPAA.QOPEEFQ..G.FQ..GRRR.. R98 O99 P99 A99  
4 4 0 BB.C..DD.CO.AAFQO.EEFQOPG..Q.PG.RRRP F99 A99 P98 R99  
4 4 0 BB.C..DD.C..AA.QO.EEFQOPG.FQOPG.RRRP O99 A99 P98 R99  
4 4 0 BB.C.P.DDCOPAA.QOPEEFQO.G.FQ..GRRR.. R98 D99 P99 A99  
4 4 0 BB.C..DD.C..AA.QOPEEFQOPG.FQOPGRRR.. R98 O99 P99 A99  
4 4 0 BB.CO.DD.CO.AA.QO.EEFQ.PG.FQ.PG.RRRP O99 A99 P98 R99  
4 4 0 BB.C...DDCO.AA.QO.EEFQOPG.FQ.PG.RRRP D99 A99 P98 R99  
4 4 0 BB.C..DD.C..AA.QOPEEFQOPG.FQOPG.RRR. R99 O99 P99 A99  
4 4 0 .BBC..DD.CO.AA.QO.EEFQOPG.FQ.PG.RRRP B99 A99 P98 R99  
4 4 0 BB.C..DD.C..AA.QOPEE.QOPG.FQOPG.FRRR F99 O99 P99 A99  
4 4 0 BBFC..DDFC..AA.QOPEE.QOPG..QOPG..RRR F97 O99 P99 A99  
4 4 0 BB.C...DDCO.AA.QOPEEFQOPG.FQ.PG.RRR. R99 D99 P99 A99  
4 4 0 BB.COP.DDCOP.AAQOPEEFQ..G.FQ..GRRR.. D99 P99 R98 O99  
4 4 0 BB.CO..DDCO..AAQO.EEFQ.PG.FQ.PGRRR.P P98 D99 R98 O99  
4 4 0 .BBC.P.DDCOP.AAQOPEEFQO.G.FQ..G.RRR. R99 D99 P99 B99  
4 4 0 BB.C..DDFC.PAAFQOPEE.QOPG..QO.GRRR.. R98 O99 F98 A99  
4 4 0 BB.C..DDFC..AAFQOPEE.QOPG..QOPG..RRR F98 O99 P99 A99  
4 4 0 BB.C..DD.C..AAFQOPEEFQOPG..QOPG..RRR F99 O99 P99 A99  
4 4 0 BB.CO..DDCO..AAQOPEEFQ.PG.FQ.PGRRR.. D99 P99 R98 O99  
4 4 0 .BBC..DD.C..AA.QOPEEFQOPG.FQOPG..RRR B99 O99 P99 A99  
4 4 0 BB.C.P.DDCOPAA.QOPEEFQO.G.FQ..G.RRR. R99 D99 P99 A99  
4 4 0 .BBC..DDFCOPAAFQOPEE.QOPG..Q..G.RRR. F98 R99 A99 B99  
4 4 0 BB.C..DD.CO.AAFQOPEEFQOPG..Q.PG.RRR. P99 R99 F99 A99  
4 4 0 BB.C.P.DDCOPAAFQOPEEFQO.G..Q..G..RRR F99 D99 P99 A99  
4 4 0 .BBC.P.DDCOPAA.QOPEEFQO.G.FQ..G..RRR B99 D99 P99 A99  
4 4 0 .BBCO.DD.CO..AAQOPEEFQ.PG.FQ.PG.RRR. O99 R99 P99 B99  
4 4 0 BB.COPDDFCOPAAFQOPEE.Q..G..Q..G..RRR F98 O99 P99 A99  
4 4 0 BB.COPDD.COPAAFQOPEEFQ..G..Q..G..RRR F99 O99 P99 A99  
4 4 0 BBFC.PDDFCOPAA.QOPEE.QO.G..Q..G.RRR. F97 R99 P99 A99  
4 4 0 .BBC..DD.CO.AA.QOPEE.QOPG.FQ.PG.FRRR P99 F99 A99 B99  
4 4 0 BB.C..DDFCOPAAFQOP.EEQOPG..Q..G.RRR. E99 R99 F98 A99  
4 4 0 .BBCOPDD.COPAA.QOPEEFQ..G.FQ..G..RRR B99 O99 P99 A99  
4 4 0 BB.C.PDD.C.PAA.QOPEEFQO.G.FQO.G.RRR. R99 O99 P99 A99  
4 4 0 .BBC.PDD.COP.AAQOP.EEQO.G.FQ..G.FRRR E99 F99 P99 B99  
4 4 0 BBFC.PDDFC.PAA.QOPEE.QO.G..QO.G..RRR F97 O99 P99 A99  
4 4 0 BB.C.PDDFC.PAAFQOPEE.QO.G..QO.G..RRR F98 O99 P99 A99  
4 4 0 .BBC.PDD.COPAA.QOPEE.QO.G.FQ..G.FRRR A99 F99 P99 B99  
4 4 0 .BBC..DDFCOPAAFQOP.EEQOPG..Q..G..RRR E99 F98 A99 B99  
4 4 0 BB.C.PDD.C.PAAFQOPEEFQO.G..QO.G..RRR F99 O99 P99 A99  
4 4 0 .BBC.PDD.C.PAA.QOPEEFQO.G.FQO.G..RRR B99 O99 P99 A99  
4 4 0 .BBC.P.DDCOP.AAQOPEE.QO.G.FQ..G.FRRR D99 F99 P99 B99  
4 4 0 BB.C.PDD.COPGAAQOPGEEQO...FQ....FRRR P99 G98 E99 F99  
4 4 0 BB.C..DD.C.PGAAQOPGEEQOP..FQO...FRRR O99 G98 E99 F99  
4 4 0 BB.C..DD.CO.AAFQOPEEFQOPG..Q.PGRRR.. R98 P99 F99 A99  
4 4 0 BB.C.PDD.COPAAFQOPEEFQO.G..Q..GRRR.. R98 P99 F99 A99  
4 4 0 .BBCO.DD.COPAAFQOPEEFQ.PG..Q..G..RRR O99 F99 A99 B99  
4 4 0 BB.CO.DD.CO.AA.QO.EEFQ.PG.FQ.PGRRR.P A99 P98 R98 O99  
4 4 0 BB.CO.DD.COPGAAQOPGEEQ.P..FQ....FRRR O99 G98 E99 F99  
4 4 0 BB.C...DDCOPGAAQOPGEEQOP..FQ....FRRR D99 G98 E99 F99  
4 4 0 .BBC.PDD.COPAAFQOPEEFQO.G..Q..G..RRR P99 F99 A99 B99  
4 4 0 .BBC..DD.COPGAAQOPGEEQOP..FQ....FRRR B99 G98 E99 F99  
4 4 0 BBFC..DDFCO.AA.QO.EE.QOPG..Q.PGRRR.P P98 F97 R98 A99  
4 4 0 BB.C..DD.C.PAAFQOPEEFQOPG..QO.GRRR.. R98 O99 F99 A99  
4 4 0 BB.CO.DD.COPAAFQOPEEFQ.PG..Q..GRRR.. R98 O99 F99 A99  
4 4 0 BBFC..DDFCO.AA.QOPEE.QOPG..Q.PGRRR.. P99 F97 R98 A99  
4 4 0 BBFC.PDDFCOPAA.QOPEE.QO.G..Q..GRRR.. P99 F97 R98 A99  
4 4 0 .BBC..DD.C.PAAFQOPEEFQOPG..QO.G..RRR O99 F99 A99 B99  
4 4 0 BBFC..DDFC.PAA.Q.PEE.QOPG..QO.GRRRO. O98 F97 R98 A99  
4 4 0 BBFC..DDFC.PAA.QOPEE.QOPG..QO.GRRR.. O99 F97 R98 A99  
4 4 0 BBFC..DDFCO.AA.QOPEE.QOPG..Q.PG.RRR. F97 R99 P99 A99  
4 4 0 .BBC...DDCOPAAFQOPEEFQOPG..Q..G..RRR D99 F99 A99 B99  
4 4 0 BB.C.PDDFCOPAAFQOPEE.QO.G..Q..GRRR.. R98 P99 F98 A99  
4 4 0 BBFCO.DDFCOPAA.QOPEE.Q.PG..Q..GRRR.. O99 F97 R98 A99  
4 4 0 .BBC...DDC...AAQOPEEFQOPG.FQOPG..RRR P99 D99 O99 B99  
4 4 0 BB.C...DDCOPAAFQOPEEFQOPG..Q..GRRR.. R98 D99 F99 A99  
4 4 0 .BBC.P.DDC.P.AAQOPEEFQO.G.FQO.G..RRR P99 D99 O99 B99  
4 4 0 .BBC..DD.C.PAA.QOPEE.QOPG.FQO.G.FRRR A99 F99 O99 B99  
4 4 0 BB.C..DDFCOPAAFQOP.EEQOPG..Q..GRRR.. R98 E99 F98 A99  
4 4 0 BB.C..DDFCOPAAFQOPGEEQOPG..Q.....RRR G99 E99 F98 A99  
4 4 0 .BBC..DD.C...AAQOPEE.QOPG.FQOPG.FRRR P99 F99 O99 B99  
4 4 0 .BBC...DDC.P.AAQOPEE.QOPG.FQO.G.FRRR D99 F99 O99 B99  
4 4 0 BB.C..DDFCO.AAFQOPEE.QOPG..Q.PGRRR.. R98 P99 F98 A99  
4 4 0 .BBC.PDD.C.P.AAQOPEEFQO.G.FQO.GRRR.. O99 P99 R98 B99  
4 4 0 .BBCOPDD.COP.AAQOPEEFQ..G.FQ..GRRR.. O99 P99 R98 B99  
4 4 0 BB.CO.DDFCOPAAFQOPEE.Q.PG..Q..GRRR.. R98 O99 F98 A99  
4 4 0 .BBC...DDCO..AAQOPEE.QOPG.FQ.PG.FRRR D99 F99 P99 B99  
4 4 0 BB.C.P.DDC.P.AAQ.PEEFQO.G.FQO.GRRRO. O98 R98 P99 D99  
4 4 0 BB.C..DD.C..AA.Q..EEFQOPG.FQOPGRRROP A99 O98 P98 R98  
4 4 0 BB.CO..DDCOP.AAQOP.EEQ.PG.FQ..G.FRRR D99 O99 E99 F99  
4 4 0 .BBC..DD.COPAAFQOPEEFQOPG..Q..G.RRR. F99 R99 A99 B99  
4 4 0 .BBC.P.DDCOP.AAQOPEEFQO.G.FQ..GRRR.. D99 P99 R98 B99  
4 4 0 BB.C...DDC.PAA.QOPEEFQOPG.FQO.G.RRR. R99 D99 O99 A99  
4 4 0 .BBC..DD.CO..AAQOP.EEQOPG.FQ.PG.FRRR E99 F99 P99 B99  
4 4 0 BB.C...DDC.PAAFQOPEEFQOPG..QO.G..RRR F99 D99 O99 A99  
4 4 0 BB.C...DDC..AA.QOPEEFQOPG.FQOPG..RRR P99 D99 O99 A99  
4 4 0 BB.C.PDDFCOPAAFQOP.EEQO.G..Q..G..RRR P99 E99 F98 A99  
4 4 0 BB.C..DD.C...AAQOP.EEQOPG.FQOPG.FRRR E99 P99 F99 O99  
4 4 0 BB.C.P.DDC.PAA.QOPEEFQO.G.FQO.G..RRR P99 D99 O99 A99  
4 4 0 .BBC...DDC.PAA.QOPEEFQOPG.FQO.G..RRR B99 D99 O99 A99  
4 4 0 BB.C..DDFC.PAAFQOP.EEQOPG..QO.G..RRR O99 E99 F98 A99  
4 4 0 BB.CO..DDCOPAAFQOPEEFQ.PG..Q..G..RRR F99 O99 D99 A99  
4 4 0 BB.CO..DDCO.AA.QOPEEFQ.PG.FQ.PG..RRR P99 O99 D99 A99  
4 4 0 BB.C...DDC...AAQO.EEFQOPG.FQOPG.RRRP P98 D99 R99 O99  
4 4 0 BB.C.P.DDC.P.AAQOPEEFQO.G.FQO.G.RRR. P99 D99 R99 O99  
4 4 0 .BBCO.DD.CO..AAQO.EEFQ.PG.FQ.PG.RRRP P98 R99 O99 B99  
4 4 0 BB.COP.DDCOPAA.QOPEEFQ..G.FQ..G..RRR P99 O99 D99 A99  
4 4 0 .BBC..DD.C...AAQO.EEFQOPG.FQOPGRRR.P O99 P98 R98 B99  
4 4 0 BB.C...DDC...AAQOPEEFQOPG.FQOPG.RRR. P99 D99 R99 O99  
4 4 0 .BBCO.DD.CO..AAQO.EEFQ.PG.FQ.PGRRR.P O99 P98 R98 B99  
4 4 0 .BBC...DDCO..AAQO.EEFQOPG.FQ.PGRRR.P D99 P98 R98 B99  
4 4 0 BBFC..DDFC.PAA.QOPEE.QOPG..QO.G.RRR. F97 R99 O99 A99  
4 4 0 BBFC..DDFCOPAA.QOPGEEQOPG..Q.....RRR G99 E99 F97 A99  
4 4 0 .BBC..DD.C...AAQOPEEFQOPG.FQOPGRRR.. O99 P99 R98 B99  
4 4 0 .BBCO.DD.CO..AAQOPEEFQ.PG.FQ.PGRRR.. O99 P99 R98 B99  
4 4 0 BBFC..DDFCOPAA.QOP.EEQOPG..Q..G.RRR. E99 R99 F97 A99  
4 4 0 .BBC...DDCO..AAQOPEEFQOPG.FQ.PGRRR.. D99 P99 R98 B99  
4 4 0 .BBCO..DDCOPAA.QOPEEFQ.PG.FQ..G..RRR A99 D99 O99 B99  
4 4 0 BB.C...DDC...AAQ..EEFQOPG.FQOPGRRROP D99 O98 P98 R98  
4 4 0 BBFC.PDDFCOPAA.QOP.EEQO.G..Q..G..RRR P99 E99 F97 A99  
4 4 0 BB.C.P.DDCOP.AAQOP.EEQO.G.FQ..G.FRRR E99 D99 F99 P99  
4 4 0 .BBC...DDCOP.AAQOP.EEQOPG.FQ..G.FRRR E99 F99 D99 B99  
4 4 0 .BBCO..DDCO..AAQOPEEFQ.PG.FQ.PG..RRR P99 D99 O99 B99  
4 4 0 .BBCOP.DDCOP.AAQOPEEFQ..G.FQ..G..RRR P99 D99 O99 B99  
4 4 0 BBFC..DDFCO.AA.QOP.EEQOPG..Q.PG..RRR P99 E99 F97 A99  
4 4 0 .BBCO.DD.CO..AAQOPEE.Q.PG.FQ.PG.FRRR P99 F99 O99 B99  
4 4 0 .BBCO..DDCOP.AAQOPEE.Q.PG.FQ..G.FRRR D99 F99 O99 B99  
4 4 0 BBFC..DDFC.PAA.QOP.EEQOPG..QO.G..RRR O99 E99 F97 A99  
4 4 0 BBFCO.DDFCOPAA.QOPEE.Q.PG..Q..G.RRR. O99 R99 F97 A99  
4 4 0 BB.C.P.DDCOPAA.QOPEE.QO.G.FQ..G.FRRR P99 D99 F99 A99  
4 4 0 BB.C...DDC.PAA.QOPEE.QOPG.FQO.G.FRRR O99 D99 F99 A99  
4 4 0 BBFCO.DDFCOPAA.QOP.EEQ.PG..Q..G..RRR O99 E99 F97 A99  
4 4 0 .BBC...DDCOPAA.QOPEE.QOPG.FQ..G.FRRR B99 D99 F99 A99  
4 4 0 BB.CO..DDCO..AAQO.EEFQ.PG.FQ.PG.RRRP P98 D99 R99 O99  
4 4 0 BB.C...DDCO..AAQOP.EEQOPG.FQ.PG.FRRR E99 P99 F99 D99  
4 4 0 BB.CO.DD.CO..AAQOP.EEQ.PG.FQ.PG.FRRR O99 P99 E99 F99  
4 4 0 BB.CO.DD.COP.AAQOPGEEQ.PG.FQ....FRRR O99 G99 E99 F99  
4 4 0 BB.CO..DDCO..AAQOPEEFQ.PG.FQ.PG.RRR. P99 D99 R99 O99  
4 4 0 .BBCO..DDCOP.AAQOPEEFQ.PG.FQ..G.RRR. B99 D99 R99 O99  
4 4 0 BB.C..DD.CO..AAQOPGEEQOPG.FQ.P..FRRR P99 G99 E99 F99  
4 4 0 BB.COP.DDCOP.AAQOPEE.Q..G.FQ..G.FRRR D99 P99 F99 O99  
4 4 0 .BBCOPDD.COP.AAQOPEE.Q..G.FQ..G.FRRR B99 P99 F99 O99  
4 4 0 BB.C.PDD.COP.AAQOPGEEQO.G.FQ....FRRR P99 G99 E99 F99  
4 4 0 BB.C...DDC.P.AAQOP.EEQOPG.FQO.G.FRRR D99 O99 E99 F99  
4 4 0 BB.C.PDD.C.PAA.QOPEE.QO.G.FQO.G.FRRR A99 P99 F99 O99  
4 4 0 BB.C.P.DDC.P.AAQOPEE.QO.G.FQO.G.FRRR D99 P99 F99 O99  
4 4 0 BB.C..DD.C.P.AAQOPGEEQOPG.FQO...FRRR O99 G99 E99 F99  
4 4 0 .BBC.PDD.C.P.AAQOPEE.QO.G.FQO.G.FRRR B99 P99 F99 O99  
4 4 0 BB.COP.DDCOP.AAQOPEEFQ..G.FQ..G.RRR. D99 P99 R99 O99  
4 4 0 BB.C..GDDCOPGAAQOP.EEQOP..FQ....FRRR G97 D99 E99 F99  
4 4 0 BB.C...DDCOP.AAQOPGEEQOPG.FQ....FRRR D99 G99 E99 F99  
4 4 0 BB.C.P.DDC.P.AAQOPEEFQO.G.FQO.GRRR.. O99 R98 P99 D99  
4 4 0 BB.C..DDFC.PAAFQOPEE.QOPG..QO.G.RRR. O99 R99 F98 A99  
4 4 0 .BBC...DDCO..AAQOPEEFQOPG.FQ.PG.RRR. D99 R99 P99 B99  
4 4 0 .BBCOPDD.COP.AAQOPEEFQ..G.FQ..G.RRR. B99 P99 R99 O99  
4 4 0 .BBC..DD.C...AAQO.EEFQOPG.FQOPG.RRRP P98 R99 O99 B99  
4 4 0 .BBC...DDCO..AAQO.EEFQOPG.FQ.PG.RRRP P98 R99 D99 B99  
4 4 0 .BBC..DD.C...AAQOPEEFQOPG.FQOPG.RRR. P99 R99 O99 B99  
4 4 0 .BBC.PDD.C.P.AAQOPEEFQO.G.FQO.G.RRR. P99 R99 O99 B99  
4 4 0 .BBC..DD.COP.AAQOPGEEQOPG.FQ....FRRR B99 G99 E99 F99  
4 4 0 BB.C...DDC...AAQOPEEFQOPG.FQOPGRRR.. R98 P99 O99 D99  
4 4 0 .BBC...DDC.P.AAQOPEEFQOPG.FQO.G.RRR. D99 R99 O99 B99  
4 4 0 BBFC..DDFCOP.AAQOPEE.QOPG..Q..G.RRR. R99 A98 F97 A99  
4 4 0 BB.CO..DDCO..AAQOPEE.Q.PG.FQ.PG.FRRR O99 P99 F99 D99  
4 4 0 BBFC..DDFCOP.AAQOP.EEQOPG..Q..G..RRR E99 A98 F97 A99  
4 4 0 BBFC..DDFCO..AAQOPEE.QOPG..Q.PG..RRR P99 A98 F97 A99  
4 4 0 BB.C...DDC...AAQOPEE.QOPG.FQOPG.FRRR D99 P99 F99 O99  
4 4 0 .BBC..DD.CO.AAFQOPEEFQOPG..Q.PG..RRR B99 P99 F99 A99  
4 4 0 BB.C..DDFC.PAAFQ.PEE.QOPG..QO.GRRRO. O98 F98 R98 A99  
4 4 0 BBFC.PDDFCOP.AAQOPEE.QO.G..Q..G..RRR P99 A98 F97 A99  
4 4 0 BBFC..DDFC.P.AAQOPEE.QOPG..QO.G..RRR O99 A98 F97 A99  
4 4 0 BB.CO.DDFCOPAAFQOP.EEQ.PG..Q..G..RRR O99 E99 F98 A99  
4 4 0 BBFCO.DDFCOP.AAQOPEE.Q.PG..Q..G..RRR O99 A98 F97 A99  
4 4 0 BB.C..DD.CO.AA.QOP.EEQOPG.FQ.PG.FRRR P99 E99 F99 A99  
4 4 0 BB.C...DDC...AAQO.EEFQOPG.FQOPGRRR.P P98 R98 O99 D99  
4 4 0 BB.C..DDFCO.AAFQO.EE.QOPG..Q.PGRRR.P P98 F98 R98 A99  
4 4 0 BB.C.PDD.COPAA.QOP.EEQO.G.FQ..G.FRRR P99 E99 F99 A99  
4 4 0 BB.C..DD.C.PAA.QOP.EEQOPG.FQO.G.FRRR O99 E99 F99 A99  
4 4 0 BB.C..DDFCO.AAFQOP.EEQOPG..Q.PG..RRR P99 E99 F98 A99  
4 4 0 BB.C...DDCOPAA.QOP.EEQOPG.FQ..G.FRRR D99 E99 F99 A99  
4 4 0 .BBC..DD.COPAA.QOP.EEQOPG.FQ..G.FRRR B99 E99 F99 A99  
4 4 0 BB.C..DD.CO.AAFQO.EEFQOPG..Q.PGRRR.P P98 F99 R98 A99  
4 4 0 BB.C...DDCO.AA.QO.EEFQOPG.FQ.PGRRR.P D99 P98 R98 A99  
4 4 0 BB.C..DD.C.PAAFQ.PEEFQOPG..QO.GRRRO. O98 F99 R98 A99  
4 4 0 BB.C...DDCOPAAFQOPEEFQOPG..Q..G.RRR. D99 R99 F99 A99  
4 4 0 BB.CO.DD.CO.AA.QOPEE.Q.PG.FQ.PG.FRRR P99 O99 F99 A99  
4 4 0 BB.COPDD.COPAA.QOPEE.Q..G.FQ..G.FRRR P99 O99 F99 A99  
4 4 0 BB.C..DD.C..AA.QO.EEFQOPG.FQOPGRRR.P O99 P98 R98 A99  
4 4 0 BB.CO..DDCOPAA.QOPEE.Q.PG.FQ..G.FRRR D99 O99 F99 A99  
4 4 0 .BBCO.DD.COPAA.QOPEE.Q.PG.FQ..G.FRRR B99 O99 F99 A99  
4 4 0 BB.C..DD.C..AA.Q.PEEFQOPG.FQOPGRRRO. O98 P99 R98 A99  
4 4 0 BB.C...DDC...AAQ.PEEFQOPG.FQOPGRRRO. O98 R98 D99 P99  
4 4 0 .BBC..DD.COPAAFQOPEEFQOPG..Q..GRRR.. F99 R98 A99 B99  
4 4 0 .BBC..DD.CO.AA.QO.EEFQOPG.FQ.PGRRR.P P98 R98 A99 B99  
4 4 0 BB.C.PDD.C.PAA.Q.PEEFQO.G.FQO.GRRRO. O98 P99 R98 A99  
4 4 0 .BBC..DD.CO.AA.QOPEEFQOPG.FQ.PGRRR.. P99 R98 A99 B99  
4 4 0 .BBC.PDD.COPAA.QOPEEFQO.G.FQ..GRRR.. P99 R98 A99 B99  
4 4 0 BB.C...DDC.PAA.Q.PEEFQOPG.FQO.GRRRO. A99 D99 O98 R98  
4 4 0 .BBC..DDFCO.AAFQOPEE.QOPG..Q.PG..RRR P99 F98 A99 B99  
4 4 0 BB.CO.DD.COPAAFQOPEEFQ.PG..Q..G.RRR. O99 R99 F99 A99  
4 4 0 .BBC..DD.C.PAA.Q.PEEFQOPG.FQO.GRRRO. O98 R98 A99 B99  
4 4 0 .BBC..DD.C.PAA.QOPEEFQOPG.FQO.GRRR.. O99 R98 A99 B99  
4 4 0 BB.CO.DDFCOPAAFQOPEE.Q.PG..Q..G.RRR. O99 R99 F98 A99  
4 4 0 .BBCO.DD.COPAA.QOPEEFQ.PG.FQ..GRRR.. O99 R98 A99 B99  
4 4 0 .BBC...DDCOPAA.QOPEEFQOPG.FQ..GRRR.. D99 R98 A99 B99  
4 4 0 .BBC..DDFC.PAAFQOPEE.QOPG..QO.G..RRR O99 F98 A99 B99  
4 4 0 BB.C..DD.C.PAAFQOPEEFQOPG..QO.G.RRR. O99 R99 F99 A99  
4 4 0 .BBC.PDDFCOPAAFQOPEE.QO.G..Q..G..RRR P99 F98 A99 B99  
4 4 0 .BBCO.DDFCOPAAFQOPEE.Q.PG..Q..G..RRR O99 F98 A99 B99  
4 4 0 BB.C.PDD.COPAAFQOPEEFQO.G..Q..G.RRR. P99 R99 F99 A99  
4 4 0 BB.C.PDDFCOPAAFQOPEE.QO.G..Q..G.RRR. F98 R99 P99 A99  
5 5 0 .BBC..DDFCOPAAFQOP.EEQOPG..Q..GRRR.. E99 F98 R98 A99 B99  
5 5 0 BB.C.PDD.C.P.AAQOPGEEQO.G.FQO...FRRR G99 E99 P99 F99 O99  
5 5 0 .BBCO..DDCOPAA.QOPEEFQ.PG.FQ..GRRR.. B99 R98 O99 D99 A99  
5 5 0 .BBC..DD.CO.AAFQOPEEFQOPG..Q.PG.RRR. F99 P99 R99 A99 B99  
5 5 0 .BBC..DD.C..AA.Q..EEFQOPG.FQOPGRRROP A99 O98 P98 R98 B99  
5 5 0 BB.C..DD.C..AAFQOPEEFQOPG..QOPGRRR.. F99 R98 O99 P99 A99  
5 5 0 BB.C.PDDFCOPAAFQOPGEEQO.G..Q.....RRR P99 G99 E99 F98 A99  
