0 0 0 .BCCDE.B.FDE.AAF.G..HH.G...I.....I..  
1 1 0 .BCC.E.B.FDE.AAFDG..HH.G...I.....I.. D99  
1 1 0 .BCC.E.B.F.E.AAF.G..HHDG...ID....I.. D97  
1 1 0 .BCCDE.B.FDE.AAF....HH.....I.G...I.G G98  
1 1 0 .BCCDE.B.FDE.AAF.GHH...G...I.....I.. H98  
1 1 0 .BCCDE.B.FDE.AAF....HH.G...I.G...I.. G99  
1 1 0 .BCC.E.B.F.E.AAFDG..HHDG...I.....I.. D98  
1 1 0 .BCCDE.B.FDEAA.F.G..HH.G...I.....I.. A99  
1 1 0 .BCC.E.B.F.E.AAF.G..HH.G...ID....ID. D96  
1 1 0 .BCCDE.B.FDE.AAF.G.HH..G...I.....I.. H99  
1 1 0 .BCCDE.B.FDE.AAF.G...HHG...I.....I.. H99  
2 2 0 .BCC.E.B.FDE.AAFDG.HH..G...I.....I.. H99 D99  
2 2 0 .BCC.E.B.FDE.AAFDGHH...G...I.....I.. H98 D99  
2 2 0 .BCCDE.B.FDE.AAF..HH.......I.G...I.G H98 G98  
2 2 0 .BCCDE.B..DE.AAF.GHH.F.G...I.....I.. F99 H98  
2 2 0 .BCCDE.B.FDE.AAF.G.HHI.G...I........ I99 H99  
2 2 0 .BCCDE.B..DE.AAF.G.HHF.G...I.....I.. F99 H99  
2 2 0 .BCC.E.B.F.E.AAF.GHH...G...ID....ID. D96 H98  
2 2 0 .BCC.E.B.FDE.AAFDG...HHG...I.....I.. H99 D99  
2 2 0 .BCC.E.B.F.E.AAFDGHH..DG...I.....I.. D98 H98  
2 2 0 .BCCDE.B.FDE.AAF...HH......I.G...I.G H99 G98  
2 2 0 .BCC.E.B.FDE.AAFD...HH.....I.G...I.G G98 D99  
2 2 0 .BCC.E.B.F.E.AAF.GHH..DG...ID....I.. H98 D97  
2 2 0 .BCCDE.B.FDE.AAF......HH...I.G...I.G H98 G98  
2 2 0 .BCCDE.B.FDE.AAF.....HH....I.G...I.G H99 G98  
2 2 0 .BCC.E.B.FDE.AAFD...HH.G...I.G...I.. G99 D99  
2 2 0 .BCCDE.B.FDEAA.F....HH.....I.G...I.G A99 G98  
2 2 0 .BCCD..B.FD..AAF.E..HH.E...I.G...I.G E98 G98  
2 2 0 .BCC.E.B.FDEAA.FDG..HH.G...I.....I.. A99 D99  
2 2 0 .BCCD..B.FDE.AAF.E..HH.....I.G...I.G E99 G98  
2 2 0 .BCCDE.B.FDE.AAF.GHH.I.G...I........ I99 H98  
2 2 0 .BCC.E.B.F.E.AAF.G.HH..G...ID....ID. H99 D96  
2 2 0 .BCC.E.B.F.E.AAF....HH.....IDG...IDG D96 G98  
2 2 0 .BCC.E.B.F.E.AAF.G...HHG...ID....ID. H99 D96  
2 2 0 .B.CCE.B.FDE.AAFDG..HH.G...I.....I.. C99 D99  
2 2 0 .BCC.E.B.F.E.AAFD...HHD....I.G...I.G D98 G98  
2 2 0 .B.CCE.B.F.E.AAF.G..HH.G...ID....ID. C99 D96  
2 2 0 .BCCDE.B.FDEAA.F.G...HHG...I.....I.. H99 A99  
2 2 0 .BCC.E.B.F.E.AAF.G.HH.DG...ID....I.. H99 D97  
2 2 0 .BCC.E.B.F.EAA.F.G..HH.G...ID....ID. D96 A99  
2 2 0 .BCC.E.B.F.EAA.FDG..HHDG...I.....I.. A99 D98  
2 2 0 .BCC.E.B.F.E.AAF....HHD....IDG...I.G G98 D97  
2 2 0 .BCCDE.B.FDE.AAF.....HHG...I.G...I.. H99 G99  
2 2 0 .B.CCE.B.F.E.AAFDG..HHDG...I.....I.. C99 D98  
2 2 0 .BCCDE.B.FDEAA.F.G.HH..G...I.....I.. H99 A99  
2 2 0 .BCCDE.B.FDE.AAF...HH..G...I.G...I.. H99 G99  
2 2 0 .BCC.E.B.F.E.AAF....HHDG...IDG...I.. G99 D97  
2 2 0 .BCCDE.B.FDEAA.F....HH.G...I.G...I.. A99 G99  
2 2 0 .BCCD..B.FDE.AAF.E..HH.G...I.G...I.. E99 G99  
2 2 0 .BCC.E.B.F.EAA.F.G..HHDG...ID....I.. A99 D97  
2 2 0 .BCC.E.B.F.E.AAF....HH.G...IDG...ID. D96 G99  
2 2 0 .BCC.E.B.F.E.AAFDG.HH.DG...I.....I.. H99 D98  
2 2 0 .BCC.E.B.F.E.AAFD...HHDG...I.G...I.. D98 G99  
2 2 0 .B.CCE.B.F.E.AAF.G..HHDG...ID....I.. C99 D97  
2 2 0 .BCCDE.B.FDE.AAF..HH...G...I.G...I.. G99 H98  
2 2 0 .BCCDE.B.FDEAA.F.GHH...G...I.....I.. A99 H98  
8 8 0 .B.FCC.B.F.EAA...E.HHI.G...IDG....D. F99 C98 E99 G99 I99 A99 H99 D96  
8 8 0 .B.FCC.B.F..AA..DE.HHIDE...I.G.....G F99 C98 D98 E98 A99 G98 I99 H99  
8 8 0 ...FCC...F.E.AA.DE.BHHDG.B.I.G...I.. A98 B97 A99 F99 C98 D98 E99 G99  
8 8 0 ...FCC...F.EAA..DE.BHHDG.B.I.G...I.. A97 B97 A99 F99 C98 D98 E99 G99  
8 8 0 .B.FCC.B.FDEAA..DEHH.I.G...I.G...... F99 A99 C98 E99 G99 I99 H98 D99  
8 8 0 .B.FCC.B.F.EAA.I.E.HHI......DG....DG I98 H99 F99 C98 D96 E99 A99 G98  
8 8 0 ...FCC...F...AA..E..HHDE.B.IDG.B.I.G A98 B96 A99 F99 C98 D97 E98 G98  
8 8 0 .B.FCC.B.FDE..AADEHH.I.G...I.G...... A99 F99 C98 E99 G99 I99 H98 D99  
8 8 0 ...FCC...F..AA...E..HHDE.B.IDG.B.I.G A97 B96 A99 F99 C98 D97 E98 G98  
8 8 0 .B.FCC.B.F.EAA...EHH.ID....IDG.....G F99 C98 D97 E99 A99 I99 H98 G98  
8 8 0 .B.FCC.B.F.E..AA.EHH.I.....IDG....DG I99 A99 H98 F99 C98 D96 E99 G98  
8 8 0 ...FCC...F....AA.EHH..DE.B.IDG.B.I.G H98 B96 A99 F99 C98 D97 E98 G98  
8 8 0 ...FCC.B.F.E.BAA.EHH.......IDG...IDG B99 A99 H98 F99 C98 D96 E99 G98  
8 8 0 .B.FCC.B.F.EAA..DEHH.ID....I.G.....G F99 C98 D98 E99 A99 I99 H98 G98  
8 8 0 .B.FCC.B.F..AA.I.EHH.I.E....DG....DG A99 I98 F99 C98 D96 E98 H98 G98  
8 8 0 ...FCC...F.EAA..DE.BHHD..B.I.G...I.G A97 B97 A99 F99 C98 D98 E99 G98  
8 8 0 ...FCC...F....AA.E.HH.DE.B.IDG.B.I.G H99 B96 A99 F99 C98 D97 E98 G98  
8 8 0 .B.FCC.B.FDE..AADEHH.I.....I.G.....G A99 F99 C98 E99 D99 I99 H98 G98  
8 8 0 .B.FCC.B.FD...AADEHH.I.E...I.G.....G A99 F99 C98 E98 D99 I99 H98 G98  
8 8 0 .B.FCC.B.FDEAA.IDEHH.I.......G.....G I98 F99 H98 C98 D99 E99 A99 G98  
8 8 0 .B.FCC.B.F.E...AAEHH.I.....IDG....DG I99 A98 H98 F99 C98 D96 E99 G98  
8 8 0 ...FCC.B.F.E.B.AAEHH.......IDG...IDG B99 A98 H98 F99 C98 D96 E99 G98  
8 8 0 .B.FCC.B.FD.AA.IDE.HHI.E.....G.....G A99 I98 F99 C98 E98 G98 H99 D99  
8 8 0 .B.FCC.B.F.EAA..DE.HHIDG...I.G...... F99 C98 E99 A99 I99 D98 H99 G99  
8 8 0 .B.FCC.B.F.E...AAE.HHI.....IDG....DG I99 H99 A98 F99 C98 D96 E99 G98  
8 8 0 .B.FCC.B.F..AA...E.HHIDE...IDG.....G F99 C98 E98 G98 I99 A99 H99 D97  
8 8 0 ...FCC.B.F.E.B.AAE.HH......IDG...IDG B99 H99 A98 F99 C98 D96 E99 G98  
8 8 0 ...FCC...F..AA..DE.BHHDE.B.I.G...I.G A97 B97 A99 F99 C98 D98 E98 G98  
8 8 0 .B.FCC.B.FDEAA.IDE.HHI.......G.....G A99 I98 H99 F99 C98 E99 G98 D99  
8 8 0 .B.FCC.B.F.....AAEHH.IDE...IDG.....G A98 F99 I99 H98 C98 D97 E98 G98  
8 8 0 .B.FCC.B.F....AADEHH.IDE...I.G.....G A99 F99 I99 H98 C98 D98 E98 G98  
8 8 0 .B.FCC.B.F.E...AAE.HHID....IDG.....G A98 F99 C98 I99 H99 D97 E99 G98  
8 8 0 .B.FCC.B.FDEAA..DE.HHI.....I.G.....G A99 I99 H99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...F.EAA...E.BHHD..B.IDG...I.G A97 B97 A99 F99 C98 D97 E99 G98  
8 8 0 ...FCC...F.E.AA..E.BHHD..B.IDG...I.G A98 B97 A99 F99 C98 D97 E99 G98  
8 8 0 .B.FCC.B.F.E..AADEHH.ID....I.G.....G A99 F99 I99 H98 C98 D98 E99 G98  
8 8 0 ...FCC...F...AA.DE.BHHDE.B.I.G...I.G A98 B97 A99 F99 C98 D98 E98 G98  
8 8 0 .B.FCC.B.F....AA.EHH.IDE...IDG.....G A99 F99 I99 H98 C98 D97 E98 G98  
8 8 0 .B.FCC.B.F.....AAEHH.I.E...IDG....DG A98 F99 C98 I99 D96 E98 H98 G98  
8 8 0 ...FCC...F.E..AA.E.B..HH.B.IDG...IDG H98 B97 A99 F99 C98 D96 E99 G98  
8 8 0 ...FCC...F.E.AA..E.BHH...B.IDG...IDG A98 B97 A99 F99 C98 D96 E99 G98  
8 8 0 .B.FCC.B.F....AA.EHH.I.E...IDG....DG A99 F99 C98 I99 D96 E98 H98 G98  
8 8 0 .B.FCC.B.F..AA..DEHH.IDE...I.G.....G F99 I99 A99 H98 C98 D98 E98 G98  
8 8 0 .B.FCC.B.F..AA.I.E.HHI.E....DG....DG I98 F99 C98 D96 E98 A99 H99 G98  
8 8 0 ...FCC...F.E..AA.E.B.HH..B.IDG...IDG H99 B97 A99 F99 C98 D96 E99 G98  
8 8 0 ...FCC...F.E.BAA.E.B.HH....IDG...IDG H99 B98 A99 F99 C98 D96 E99 G98  
8 8 0 ...FCC.B.F.E.BAA.E...HH....IDG...IDG B99 A99 F99 C98 E99 H99 D96 G98  
8 8 0 ...FCC.B.F.E.B.AAE...HH....IDG...IDG B99 A98 F99 C98 E99 H99 D96 G98  
8 8 0 .B.FCC.B.F.EAA...EHH.IDG...IDG...... F99 A99 C98 E99 G99 I99 H98 D97  
8 8 0 ...FCC...F.E.AA.DE.BHHD..B.I.G...I.G A98 B97 A99 F99 C98 D98 E99 G98  
8 8 0 ...FCC...F.E..AA.E...HH..B.IDG.B.IDG B96 A99 F99 C98 E99 H99 D96 G98  
8 8 0 .B.FCC.B.F.E...AAEHH.IDG...IDG...... A98 F99 C98 E99 G99 I99 H98 D97  
8 8 0 .B.FCC.B.F.EAA...E.HHID....IDG.....G A99 F99 C98 I99 H99 D97 E99 G98  
8 8 0 .B.FCC.B.F..AA.IDEHH.IDE.....G.....G I98 F99 A99 H98 C98 D98 E98 G98  
8 8 0 .B.FCC.B.F.EAA.I.EHH.ID.....DG.....G A99 I98 F99 H98 C98 D97 E99 G98  
8 8 0 ...FCC...F.E...AAE...HH..B.IDG.B.IDG B96 A98 F99 C98 E99 H99 D96 G98  
8 8 0 ...FCC...F.E...AAE.B.HH..B.IDG...IDG B97 A98 F99 C98 E99 H99 D96 G98  
8 8 0 ...FCC.B.F.E.BAA.E.HH.D....IDG...I.G B99 A99 F99 H99 C98 D97 E99 G98  
8 8 0 ...FCC...F.E.B.AAE.B.HH....IDG...IDG B98 A98 F99 C98 E99 H99 D96 G98  
8 8 0 .B.FCC.B.F.E..AA.E.HHID....IDG.....G A99 F99 C98 I99 H99 D97 E99 G98  
8 8 0 ...FCC.B.F.E.B.AAEHH..D....IDG...I.G B99 A98 F99 H98 C98 D97 E99 G98  
8 8 0 .B.FCC.B.F....AA.E.HHIDE...IDG.....G A99 F99 C98 I99 H99 D97 E98 G98  
8 8 0 ...FCC...FD...AADE...HHE.B.I.G.B.I.G B96 A99 F99 C98 E98 G98 H99 D99  
8 8 0 ...FCC...FDEAA..DE..HH.G.B.I.G.B.I.. A97 B96 A99 F99 C98 E99 G99 D99  
8 8 0 .B.FCC.B.F.E...AAEHH.ID....IDG.....G A98 I99 F99 H98 C98 D97 E99 G98  
8 8 0 .B.FCC.B.F.E..AA.EHH.ID....IDG.....G A99 I99 F99 H98 C98 D97 E99 G98  
8 8 0 .B.FCC.B.F.EAA.I.E.HHID.....DG.....G I98 H99 A99 F99 C98 D97 E99 G98  
8 8 0 .B.FCC.B.F.....AAE.HHIDE...IDG.....G A98 F99 C98 I99 H99 D97 E98 G98  
8 8 0 .B.FCC.B.FDEAA.IDEHH.I.G.....G...... I98 F99 A99 C98 E99 G99 H98 D99  
8 8 0 ...FCC.B.F.E.BAA.EHH..D....IDG...I.G B99 A99 F99 H98 C98 D97 E99 G98  
8 8 0 ...FCC...FDE..AADE.B.HH..B.I.G...I.G B97 A99 F99 C98 E99 G98 H99 D99  
8 8 0 .B.FCC.B.F.E..AA.E.HHI.....IDG....DG A99 F99 C98 D96 E99 G98 I99 H99  
8 8 0 .B.FCC.B.F.E..AA.EHH.IDG...IDG...... A99 F99 C98 E99 G99 I99 H98 D97  
8 8 0 .B.FCC.B.F.E..AADEHH.IDG...I.G...... A99 F99 C98 E99 G99 I99 D98 H98  
8 8 0 ...FCC...FDE..AADE...HH..B.I.G.B.I.G B96 A99 F99 C98 E99 G98 H99 D99  
8 8 0 ...FCC...F...BAA.E.B.HHE...IDG...IDG B98 A99 F99 C98 E98 H99 D96 G98  
8 8 0 .B.FCC.B.F.EAA..DE.HHID....I.G.....G F99 C98 A99 I99 H99 D98 E99 G98  
8 8 0 ...FCC.B.F...B.AAE...HHE...IDG...IDG B99 A98 F99 C98 E98 H99 D96 G98  
8 8 0 .B.FCC.B.FDE..AADE...IHH...I.G.....G A99 F99 C98 E99 I99 H98 G98 D99  
8 8 0 ...FCC...F.....AAE...HHE.B.IDG.B.IDG B96 A98 F99 C98 E98 H99 D96 G98  
8 8 0 .B.FCC.B.F.E..AADE.HHID....I.G.....G A99 F99 C98 I99 H99 D98 E99 G98  
8 8 0 ...FCC...F...B.AAE.B.HHE...IDG...IDG B98 A98 F99 C98 E98 H99 D96 G98  
8 8 0 ...FCC...F.....AAE.B.HHE.B.IDG...IDG B97 A98 F99 C98 E98 H99 D96 G98  
8 8 0 ...FCC...FD...AADE.B.HHE.B.I.G...I.G B97 A99 F99 C98 E98 G98 H99 D99  
8 8 0 ...FCC...FD..BAADE.B.HHE...I.G...I.G B98 A99 F99 C98 E98 G98 H99 D99  
8 8 0 ...FCC.B.FDE.BAADEHH...G...I.G...I.. B99 A99 F99 C98 E99 G99 H98 D99  
8 8 0 .B.FCC.B.FDE..AADE.HHI.G...I.G...... A99 I99 F99 C98 H99 E99 G99 D99  
8 8 0 ...FCC.B.FD..BAADE...HHE...I.G...I.G B99 A99 F99 C98 E98 G98 H99 D99  
8 8 0 ...FCC.B.FDE.BAADE...HH....I.G...I.G B99 A99 F99 C98 E99 G98 H99 D99  
8 8 0 ...FCC...FDE.BAADE.B.HH....I.G...I.G B98 A99 F99 C98 E99 G98 H99 D99  
8 8 0 .B.FCC.B.F.E..AA.E...IHH...IDG....DG I99 A99 H98 F99 C98 D96 E99 G98  
8 8 0 .B.FCC.B.F.....AAE.HHI.E...IDG....DG A98 F99 C98 D96 E98 G98 I99 H99  
8 8 0 .B.FCC.B.FDE..AADE.HHI.....I.G.....G A99 I99 H99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...FDE..AADE....HH.B.I.G.B.I.G B96 H98 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...FDE..AADE...HHG.B.I.G.B.I.. H99 B96 A99 F99 C98 E99 G99 D99  
8 8 0 ...FCC...F.EAA...E.BHH.G.B.IDG...ID. A97 B97 A99 F99 C98 D96 E99 G99  
8 8 0 ...FCC.B.F.E.B.AAE.HH..G...IDG...ID. H99 B99 A98 F99 C98 D96 E99 G99  
8 8 0 ...FCC...F.E..AA.E....HH.B.IDG.B.IDG B96 A99 H98 F99 C98 D96 E99 G98  
8 8 0 .B.FCC.B.F....AA.E.HHI.E...IDG....DG A99 F99 C98 D96 E98 G98 I99 H99  
8 8 0 ...FCC.B.F.E.BAA.E....HH...IDG...IDG B99 A99 H98 F99 C98 D96 E99 G98  
8 8 0 ...FCC.B.FDE.BAADE.HH......I.G...I.G B99 H99 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC.B.F.E.BAADE.HH.D....I.G...I.G B99 A99 H99 F99 C98 D98 E99 G98  
8 8 0 ...FCC.B.FDE.BAADE.HH..G...I.G...I.. B99 A99 F99 C98 H99 E99 G99 D99  
8 8 0 ...FCC...FDE..AADE.HH..G.B.I.G.B.I.. H99 B96 A99 F99 C98 E99 G99 D99  
8 8 0 ...FCC.B.F...BAADEHH..DE...I.G...I.G H98 B99 A99 F99 C98 D98 E98 G98  
8 8 0 ...FCC...FDE.AA.DE..HH.G.B.I.G.B.I.. A98 B96 A99 F99 C98 E99 G99 D99  
8 8 0 ...FCC.B.FDE.BAADEHH.......I.G...I.G B99 H98 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...FDE..AADEHH...G.B.I.G.B.I.. H98 B96 A99 F99 C98 E99 G99 D99  
8 8 0 ...FCC...FDE..AADE.B..HH.B.I.G...I.G B97 H98 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC.B.F.E.B.AAE.HH.D....IDG...I.G B99 H99 A98 F99 C98 D97 E99 G98  
8 8 0 ...FCC...F.E...AAEHH..D..B.IDG.B.I.G H98 B96 A98 F99 C98 D97 E99 G98  
8 8 0 ...FCC.B.FDE.BAADE....HH...I.G...I.G B99 H98 A99 F99 C98 E99 G98 D99  
8 8 0 .B.FCC.B.F..AA.I.EHH.IDE....DG.....G I98 F99 C98 H98 A99 D97 E98 G98  
8 8 0 ...FCC...FDE.BAADE.B..HH...I.G...I.G B98 H98 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...F.E.AA..E..HHD..B.IDG.B.I.G A96 B96 A98 F99 C98 D97 E99 G98  
8 8 0 ...FCC...F.EAA...E..HHD..B.IDG.B.I.G A95 B96 A98 F99 C98 D97 E99 G98  
8 8 0 ...FCC.B.F...B.AAEHH..DE...IDG...I.G B99 A98 F99 H98 C98 D97 E98 G98  
8 8 0 ...FCC...F.E...AAE.HH.D..B.IDG.B.I.G H99 B96 A98 F99 C98 D97 E99 G98  
8 8 0 ...FCC.B.FDE.BAADE...HHG...I.G...I.. B99 A99 H99 F99 C98 E99 G99 D99  
8 8 0 .B.FCC.B.F.EAA...E.HHIDG...IDG...... F99 C98 A99 I99 H99 E99 G99 D97  
8 8 0 ...FCC...FDE..AADE.B.HHG.B.I.G...I.. B97 A99 H99 F99 C98 E99 G99 D99  
8 8 0 .B.FCC.B.F.EAA.IDEHH.ID......G.....G A99 I98 F99 H98 C98 D98 E99 G98  
8 8 0 ...FCC...FDE.BAADE.B.HHG...I.G...I.. B98 A99 H99 F99 C98 E99 G99 D99  
8 8 0 ...FCC.B.F...BAA.EHH..DE...IDG...I.G B99 A99 F99 H98 C98 D97 E98 G98  
8 8 0 .B.FCC.B.F.EAA.I.E.HHIDG....DG...... A99 I98 F99 C98 H99 E99 G99 D97  
8 8 0 .B.FCC.B.F.E...AAEHH.I.G...IDG....D. I99 A98 F99 C98 E99 G99 D96 H98  
8 8 0 .B.FCC.B.F.E..AA.E.HHIDG...IDG...... A99 I99 F99 C98 H99 E99 G99 D97  
8 8 0 ...FCC...F..AA..DE..HHDE.B.I.G.B.I.G A97 B96 A99 F99 C98 D98 E98 G98  
8 8 0 ...FCC.B.F.E.BAADEHH..D....I.G...I.G B99 A99 F99 H98 C98 D98 E99 G98  
8 8 0 .B.FCC.B.F.EAA.IDE.HHID......G.....G I98 A99 H99 F99 C98 D98 E99 G98  
8 8 0 .B.FCC.B.F.E..AA.EHH.I.G...IDG....D. I99 A99 F99 C98 E99 G99 D96 H98  
8 8 0 ...FCC...FDEAA..DE.BHH.G.B.I.G...I.. A97 B97 A99 F99 C98 E99 G99 D99  
8 8 0 ...FCC...FD.AA..DE.BHH.E.B.I.G...I.G A97 B97 A99 F99 C98 E98 G98 D99  
8 8 0 ...FCC...FDEAA..DE..HH...B.I.G.B.I.G A97 B96 A99 F99 C98 E99 G98 D99  
8 8 0 .B.FCC.B.F.E...AAE.HHIDG...IDG...... A98 I99 F99 C98 H99 E99 G99 D97  
8 8 0 .B.FCC.B.FD.AA.IDEHH.I.E.....G.....G I98 F99 C98 H98 D99 E98 A99 G98  
8 8 0 ...FCC...F.E...AAE.B..HH.B.IDG...IDG H98 B97 A98 F99 C98 D96 E99 G98  
8 8 0 ...FCC...FDE..AADEHH.....B.I.G.B.I.G H98 B96 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...FDE.AA.DE..HH...B.I.G.B.I.G A98 B96 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...FDEAA..DE.BHH...B.I.G...I.G A97 B97 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...FDE.AA.DE.BHH...B.I.G...I.G A98 B97 A99 F99 C98 E99 G98 D99  
8 8 0 ...FCC...FD..AA.DE.BHH.E.B.I.G...I.G A98 B97 A99 F99 C98 E98 G98 D99  
8 8 0 ...FCC...FD..AA.DE..HH.E.B.I.G.B.I.G A98 B96 A99 F99 C98 E98 G98 D99  
8 8 0 .B.FCC.B.F.E...AAE...IHH...IDG....DG A98 F99 C98 E99 I99 H98 D96 G98  
8 8 0 ...FCC...FDE..AADE.HH....B.I.G.B.I.G H99 B96 A99 F99 C98 E99 G98 D99  
8 8 0 .B.FCC.B.F.EAA.I.EHH.IDG....DG...... A99 I98 F99 H98 C98 E99 G99 D97  
8 8 0 ...FCC.B.F.E.B.AAE.HH.DG...IDG...I.. B99 A98 F99 C98 H99 E99 G99 D97  
8 8 0 ...FCC.B.F.E.B.AAEHH...G...IDG...ID. B99 A98 F99 C98 E99 G99 D96 H98  
8 8 0 ...FCC...FDE.AA.DE.BHH.G.B.I.G...I.. A98 B97 A99 F99 C98 E99 G99 D99  
8 8 0 ...FCC...FD.AA..DE..HH.E.B.I.G.B.I.G A97 B96 A99 F99 C98 E98 G98 D99  
8 8 0 ...FCC.B.F.E.BAA.EHH...G...IDG...ID. B99 A99 F99 C98 E99 G99 D96 H98  
8 8 0 ...FCC.B.F.E.B.AAEHH..DG...IDG...I.. B99 A98 F99 H98 C98 E99 G99 D97  
8 8 0 ...FCC.B.F...B.AAE.HH..E...IDG...IDG B99 A98 F99 H99 C98 D96 E98 G98  
8 8 0 ...FCC.B.FD..BAADEHH...E...I.G...I.G B99 A99 F99 H98 C98 E98 G98 D99  
8 8 0 ...FCC...F.E.B.AAE.B.HHG...IDG...ID. H99 B98 A98 F99 C98 D96 E99 G99  
8 8 0 .B.FCC.B.F.E..AA.E.HHI.G...IDG....D. I99 A99 F99 C98 E99 G99 H99 D96  
8 8 0 .B.FCC.B.F..AA.IDE.HHIDE.....G.....G A99 I98 F99 H99 C98 D98 E98 G98  
8 8 0 ...FCC.B.F...B.AAE.HH.DE...IDG...I.G B99 A98 H99 F99 C98 D97 E98 G98  
8 8 0 ...FCC.B.F.E.BAA.E.HH......IDG...IDG B99 A99 H99 F99 C98 D96 E99 G98  
8 8 0 ...FCC...F.E...AAE.HH..G.B.IDG.B.ID. H99 B96 A98 F99 C98 D96 E99 G99  
8 8 0 ...FCC...F.E...AAE.B.HHG.B.IDG...ID. H99 B97 A98 F99 C98 D96 E99 G99  
8 8 0 ...FCC.B.F.E.BAA.E.HH..G...IDG...ID. B99 A99 F99 C98 E99 G99 H99 D96  
8 8 0 ...FCC...F.E.AA..E.BHH.G.B.IDG...ID. A98 B97 A99 F99 C98 D96 E99 G99  
8 8 0 .B.FCC.B.F..AA.I.E.HHIDE....DG.....G A99 I98 H99 F99 C98 D97 E98 G98  
8 8 0 ...FCC...F..AA...E.BHHDE.B.IDG...I.G A97 B97 A99 F99 C98 D97 E98 G98  
8 8 0 ...FCC...F.E..AA.E.B.HHG.B.IDG...ID. H99 B97 A99 F99 C98 D96 E99 G99  
8 8 0 .B.FCC.B.FDEAA.IDE...IHH.....G.....G I98 F99 C98 H98 D99 E99 A99 G98  
8 8 0 ...FCC...F...AA..E.BHHDE.B.IDG...I.G A98 B97 A99 F99 C98 D97 E98 G98  
8 8 0 ...FCC.B.F...BAA.E.HH.DE...IDG...I.G B99 A99 H99 F99 C98 D97 E98 G98  
8 8 0 ...FCC...F....AADEHH..DE.B.I.G.B.I.G H98 B96 A99 F99 C98 D98 E98 G98  
8 8 0 ...FCC...F...AA.DE..HHDE.B.I.G.B.I.G A98 B96 A99 F99 C98 D98 E98 G98  
8 8 0 ...FCC...F....AADE.HH.DE.B.I.G.B.I.G H99 B96 A99 F99 C98 D98 E98 G98  
8 8 0 .B.FCC.B.F.EAA.IDE.HHIDG.....G...... I98 H99 F99 C98 E99 G99 A99 D98  
8 8 0 ...FCC...F.....AAE.HH.DE.B.IDG.B.I.G H99 B96 A98 F99 C98 D97 E98 G98  
8 8 0 .B.FCC.B.F.EAA.I.EHH.I.G....DG....D. I98 F99 C98 D96 H98 E99 A99 G99  
8 8 0 ...FCC...FD...AADEHH...E.B.I.G.B.I.G H98 B96 A99 F99 C98 E98 G98 D99  
8 8 0 ...FCC...FD...AADE.HH..E.B.I.G.B.I.G H99 B96 A99 F99 C98 E98 G98 D99  
8 8 0 ...FCC...F.....AAEHH..DE.B.IDG.B.I.G H98 B96 A98 F99 C98 D97 E98 G98  
8 8 0 ...FCC...F.EAA...E..HHDG.B.IDG.B.I.. A97 B96 A99 F99 C98 E99 G99 D97  
8 8 0 ...FCC.B.FD..BAADE.HH..E...I.G...I.G B99 H99 A99 F99 C98 E98 G98 D99  
8 8 0 .B.FCC.B.F.E...AAE.HHI.G...IDG....D. A98 I99 F99 C98 E99 G99 H99 D96  
8 8 0 ...FCC...F.E.AA..E..HHDG.B.IDG.B.I.. A98 B96 A99 F99 C98 E99 G99 D97  
8 8 0 ...FCC...F.E...AAEHH..DG.B.IDG.B.I.. H98 B96 A98 F99 C98 E99 G99 D97  
8 8 0 ...FCC...F.....AAEHH...E.B.IDG.B.IDG H98 B96 A98 F99 C98 D96 E98 G98  
8 8 0 ...FCC...F.E...AAE.HH.DG.B.IDG.B.I.. H99 B96 A98 F99 C98 E99 G99 D97  
8 8 0 ...FCC...F.....AAE.HH..E.B.IDG.B.IDG H99 B96 A98 F99 C98 D96 E98 G98  
8 8 0 ...FCC...F.E..AA.EHH..DG.B.IDG.B.I.. H98 B96 A99 F99 C98 E99 G99 D97  
8 8 0 ...FCC...F.E.AA.DE..HHD..B.I.G.B.I.G A98 B96 A99 F99 C98 D98 E99 G98  
8 8 0 ...FCC...F.E...AAE...HHG.B.IDG.B.ID. B96 A98 F99 C98 E99 G99 H99 D96  
8 8 0 ...FCC...F.E..AA.E.HH....B.IDG.B.IDG H99 B96 A99 F99 C98 D96 E99 G98  
8 8 0 ...FCC...F.E..AADEHH..DG.B.I.G.B.I.. H98 B96 A99 F99 C98 D98 E99 G99  
8 8 0 ...FCC...F.EAA..DE..HHD..B.I.G.B.I.G A97 B96 A99 F99 C98 D98 E99 G98  
8 8 0 ...FCC...F.EAA...E..HH...B.IDG.B.IDG A97 B96 A99 F99 C98 D96 E99 G98  
8 8 0 ...FCC...F.E..AA.E.HH.D..B.IDG.B.I.G H99 B96 A99 F99 C98 D97 E99 G98  
8 8 0 ...FCC...F.E..AA.EHH..D..B.IDG.B.I.G H98 B96 A99 F99 C98 D97 E99 G98  
