0 0 0 B..OOOB..C.PAA.CDPQQQ.DP..E.FFGGEHH.  
1 1 0 B.OOO.B..C.PAA.CDPQQQ.DP..E.FFGGEHH. O99  
1 1 0 B..OOOB....PAA.CDPQQQCDP..E.FFGGEHH. C99  
1 1 0 B..OOOB..C.PAA.CDP.QQQDP..E.FFGGEHH. Q99  
1 1 0 B..OOOB..C.PAA.CDPQQQ.DP..E.FFGGE.HH H99  
1 1 0 B..OOOB..CDPAA.CDPQQQ..P..E.FFGGEHH. D99  
1 1 0 BOOO..B..C.PAA.CDPQQQ.DP..E.FFGGEHH. O98  
1 1 0 B..OOOB..C.P.AACDPQQQ.DP..E.FFGGEHH. A99  
1 1 0 B..OOOB....PAA..DPQQQCDP..ECFFGGEHH. C98  
1 1 0 B..OOOB..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99  
2 2 0 B.OOO.B..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99 O99  
2 2 0 B.OOO.B..C.PAA.CDPQQQ.DP..E.FFGGE.HH H99 O99  
2 2 0 B..OOOB..C.PAA.CDP.QQQDP..E.FFGGE.HH H99 Q99  
2 2 0 B..OOOB..CDP.AACDPQQQ..P..E.FFGGEHH. A99 D99  
2 2 0 B..OOOB....P..AADPQQQCDP..ECFFGGEHH. A98 C98  
2 2 0 B..OOOB..C..AA.CD.QQQ.DP..EFFPGGEHHP P98 F99  
2 2 0 B..OOOB...DPAA..DPQQQC.P..ECFFGGEHH. C98 D99  
2 2 0 B.OOO.B..C.PAA.CDP.QQQDP..E.FFGGEHH. Q99 O99  
2 2 0 BOOO..B..CDPAA.CDPQQQ..P..E.FFGGEHH. O98 D99  
2 2 0 B..OOOB..CDPAA.CDPQQQ..P..E.FFGGE.HH D99 H99  
2 2 0 B.OOO.B..CDPAA.CDPQQQ..P..E.FFGGEHH. D99 O99  
2 2 0 B..OOOB....PAA.CDPQQQCDP..E.FFGGE.HH H99 C99  
2 2 0 B..OOOB..C.P.AACDPQQQ.DP..E.FFGGE.HH A99 H99  
2 2 0 B..OOOB....PAA..DPQQQ.DP..ECFFGGECHH C97 H99  
2 2 0 B.OOO.B..C.P.AACDPQQQ.DP..E.FFGGEHH. A99 O99  
2 2 0 B..OOOB....PAA..DPQQQCDP..ECFFGGE.HH C98 H99  
2 2 0 BOOO..B..C.PAA.CDPQQQ.DP..E.FFGGE.HH O98 H99  
2 2 0 B.OOOPB..C.PAA.CDPQQQ.D...E.FFGGEHH. P99 O99  
2 2 0 B..OOOB..C.PAA.CDP.QQQDP..EFF.GGEHH. F99 Q99  
2 2 0 B..OOOB..C.PAA.CDPQQQ.DP..EFF.GGE.HH F99 H99  
2 2 0 B..OOOB..C.P.AACDPQQQ.DP..EFF.GGEHH. F99 A99  
2 2 0 B..OOOB..CDPAA.CDP.QQQ.P..E.FFGGEHH. D99 Q99  
2 2 0 B.OOO.B....PAA..DPQQQCDP..ECFFGGEHH. C98 O99  
2 2 0 B..OOOB..C.P.AACDP.QQQDP..E.FFGGEHH. A99 Q99  
2 2 0 BOOO..B..C.PAA.CDP.QQQDP..E.FFGGEHH. O98 Q99  
2 2 0 B.OOO.B....PAA.CDPQQQCDP..E.FFGGEHH. C99 O99  
2 2 0 B..OOOB....PAA.CDPQQQCDP..EFF.GGEHH. F99 C99  
2 2 0 BOOO..B..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99 O98  
2 2 0 B..OOOB..C..AA.CDPQQQ.DP..EFFPGGEHH. P99 F99  
2 2 0 B..OOOB....P.AA.DPQQQCDP..ECFFGGEHH. C98 A99  
2 2 0 B..OOOB...DPAA.CDPQQQC.P..E.FFGGEHH. D99 C99  
2 2 0 ...OOOB..C.PBAACDPQQQ.DP..E.FFGGEHH. B99 A99  
2 2 0 BOOOD.B..CDPAA.C.PQQQ..P..E.FFGGEHH. D98 O98  
2 2 0 B..OOOB....P.AACDPQQQCDP..E.FFGGEHH. A99 C99  
2 2 0 B..OOOB..CDPAA.CDPQQQ..P..EFF.GGEHH. F99 D99  
2 2 0 BOOO..B..C.P.AACDPQQQ.DP..E.FFGGEHH. A99 O98  
2 2 0 BOOO.PB..C.PAA.CDPQQQ.D...E.FFGGEHH. P99 O98  
2 2 0 BOOO..B....PAA.CDPQQQCDP..E.FFGGEHH. O98 C99  
2 2 0 BOOO..B....PAA..DPQQQCDP..ECFFGGEHH. C98 O98  
2 2 0 B..OOOB..CDPAA.CDP..QQQP..E.FFGGEHH. Q98 D99  
6 6 0 B.OOO.B...DP.AA.DP..QQQP..ECFFGGECHH O99 Q98 C97 H99 A99 D99  
6 6 0 ...OOOB..CDPBAACDP.QQQ.P..EFF.GGE.HH D99 Q99 B99 F99 A99 H99  
6 6 0 OOO......C.PAA.CDPBQQQDPB.E.FFGGE.HH H99 A98 O97 B97 A99 Q99  
6 6 0 ...OOO....DP.AA.DPB.QQQPB.ECFFGGECHH B97 Q98 C97 H99 A99 D99  
6 6 0 ...OOO....DPBAA.DPB.QQQP..ECFFGGECHH B98 Q98 C97 H99 A99 D99  
6 6 0 BOOOD.B..CDP.AAC.P..QQQP..EFF.GGE.HH Q98 F99 H99 A99 D98 O98  
6 6 0 ...OOOB...DPBAA.DP..QQQP..ECFFGGECHH B99 Q98 C97 H99 A99 D99  
6 6 0 B.OOOPB.ECDPAAECDP...QQQ....FFGG..HH E97 Q97 P99 D99 H99 O99  
6 6 0 BOOO..B......AACDPQQQCDP..EFFPGGE.HH H99 P99 A99 O98 F99 C99  
6 6 0 BOOODPB...DP...AAPQQQC....ECFFGGE.HH A97 C98 H99 P99 D98 O98  
6 6 0 BOOO..B...DP.AACDPQQQC.P..EFF.GGE.HH O98 C99 H99 F99 A99 D99  
6 6 0 B.OOOPB..CDPAAECDP..EQQQ....FFGG..HH E98 Q97 P99 D99 H99 O99  
6 6 0 B.OOOPB..CDPAA.CDP..EQQQ..E.FFGG..HH E99 Q97 P99 D99 H99 O99  
6 6 0 .OOOD.B..CDPBAAC.P.QQQ.P..E.FFGGE.HH H99 D98 Q99 O98 B99 A99  
6 6 0 B.OOOPB..CDP.AACDP...QQQ..E.FFGGE.HH A99 Q97 P99 D99 H99 O99  
6 6 0 ..OOOPB..CDPBAACDP..QQQ...E.FFGGEHH. P99 Q98 B99 O99 A99 D99  
6 6 0 B..OOOB..CD..AACDP.QQQ.P..EFFPGGE.HH Q99 H99 P99 F99 A99 D99  
6 6 0 BOOO..B..CDP.AACDP.QQQ.P..EFF.GGE.HH O98 Q99 H99 F99 A99 D99  
6 6 0 .OOO.P...C.PBAACDPBQQQD...E.FFGGE.HH P99 H99 O98 B98 A99 Q99  
6 6 0 .OOOD....CDPBAAC.PBQQQ.P..EFF.GGEHH. D98 F99 O98 B98 A99 Q99  
6 6 0 BOOODPB...DPAA.C.PQQQC....EFF.GGE.HH F99 C99 H99 P99 D98 O98  
6 6 0 .OOO.....CDPBAACDPBQQQ.P..EFF.GGEHH. D99 F99 O98 B98 A99 Q99  
6 6 0 .OOO.....C..BAACD.BQQQDP..EFFPGGEHHP P98 F99 O98 B98 A99 Q99  
6 6 0 BOOOD.B..CD.AA.C.P..QQQP..EFFPGGE.HH P99 F99 Q98 D98 O98 H99  
6 6 0 B.OOOPB..CDP.AACDPQQQ.....EFF.GGE.HH P99 O99 H99 F99 A99 D99  
6 6 0 OOO.D.B...DPB.AA.PQQQC.P..ECFFGGE.HH D98 H99 O97 B99 A98 C98  
6 6 0 BOOO..B..CD..AACD...QQQP..EFFPGGEHHP P98 Q98 O98 F99 A99 D99  
6 6 0 .OOO.....C..BAACDPBQQQDP..EFFPGGEHH. P99 F99 O98 B98 A99 Q99  
6 6 0 .OOO.P...C.PBAACDPBQQQD...EFF.GGEHH. P99 F99 O98 B98 A99 Q99  
6 6 0 BOOO.PB..CDP.AACDPQQQ.....EFF.GGE.HH P99 O98 H99 F99 A99 D99  
6 6 0 OOO.D....CDPBAAC.PBQQQ.P..E.FFGGE.HH D98 H99 O97 B98 A99 Q99  
6 6 0 OOO......CDPBAACDPBQQQ.P..E.FFGGE.HH D99 H99 O97 B98 A99 Q99  
6 6 0 .OOOD.B...DPB..AAPQQQC.P..ECFFGGE.HH B99 A97 H99 C98 D98 O98  
6 6 0 BOOO..B..CD..AACDP..QQQP..EFFPGGEHH. O98 Q98 P99 F99 A99 D99  
6 6 0 OOO..P...C.PBAACDPBQQQD...E.FFGGE.HH P99 H99 O97 B98 A99 Q99  
6 6 0 OOOC.....C.PBAA.DPBQQQDP..E.FFGGE.HH C99 H99 O97 B98 A99 Q99  
6 6 0 OOO...B..CDPBAACDPQQQ..P..EFF.GGE.HH O97 B99 H99 F99 A99 D99  
6 6 0 ..OOO.B..C..BAACD..QQQDP..EFFPGGEHHP P98 F99 O99 B99 A99 Q99  
6 6 0 ..OOO.B..C..BAACDP.QQQDP..EFFPGGEHH. P99 F99 O99 B99 A99 Q99  
6 6 0 BOOO..B..CD.AA.CDP.QQQ.P..EFFPGGE.HH O98 P99 D99 F99 H99 Q99  
6 6 0 BOOO..B..CD..AACDP.QQQ.P..EFFPGGEHH. O98 Q99 P99 F99 A99 D99  
6 6 0 ..OOO.B..CD.BAACDPQQQ..P..EFFPGGEHH. B99 O99 P99 F99 A99 D99  
6 6 0 ..OOOPB..C.PBAACDP.QQQD...EFF.GGEHH. P99 F99 O99 B99 A99 Q99  
6 6 0 BOOO.PB...DP.AA.DPQQQ.....ECFFGGECHH C97 H99 P99 O98 A99 D99  
6 6 0 BOOO.PB...DP..AADPQQQC....ECFFGGE.HH P99 O98 A98 H99 C98 D99  
6 6 0 BOOO.PB...DP.AA.DPQQQC....ECFFGGE.HH C98 H99 P99 O98 A99 D99  
6 6 0 .OOO.PB..CDPBAACDPQQQ.....E.FFGGE.HH B99 H99 P99 O98 A99 D99  
6 6 0 B.OOO.B...D..AACDPQQQC.P..EFFPGGEHH. O99 C99 P99 F99 A99 D99  
6 6 0 .OOO..B..CD.BAACDPQQQ..P..EFFPGGEHH. B99 O98 P99 F99 A99 D99  
6 6 0 .OOO..B...DPBAACDPQQQC.P..E.FFGGE.HH B99 O98 H99 C99 A99 D99  
6 6 0 ..OOOPB..C.PBAACDP.QQQD...E.FFGGE.HH P99 Q99 B99 A99 H99 O99  
6 6 0 BOOO..B...D..AACD.QQQC.P..EFFPGGEHHP O98 P98 C99 F99 A99 D99  
6 6 0 ..OOO.B...DPBAA.DPQQQC.P..ECFFGGE.HH B99 D99 C98 A99 H99 O99  
6 6 0 ..OOO.B...DPBAACDPQQQC.P..E.FFGGE.HH B99 D99 C99 A99 H99 O99  
6 6 0 OOO...B..CD.BAACDPQQQ..P..EFFPGGEHH. O97 B99 P99 F99 A99 D99  
6 6 0 B.OOO.B..CD..AACD...QQQP..EFFPGGEHHP P98 Q98 O99 F99 A99 D99  
6 6 0 BOOO.PB..CDP.AACDP..QQQ...E.FFGGE.HH P99 O98 H99 Q98 A99 D99  
6 6 0 .OOO.....CDP.AACDPBQQQ.PB.E.FFGGE.HH B97 O98 H99 Q99 A99 D99  
6 6 0 B.OOO.B......AACDPQQQCDP..EFFPGGE.HH A99 C99 P99 H99 F99 O99  
6 6 0 BOOO..B...DP.AA.DP..QQQP..ECFFGGECHH O98 Q98 C97 H99 A99 D99  
6 6 0 B.OOOPB..CDP.AACDP..QQQ...E.FFGGE.HH A99 H99 P99 Q98 D99 O99  
6 6 0 B.OOO.B..C...AACDP.QQQDP..EFFPGGE.HH P99 A99 Q99 H99 F99 O99  
6 6 0 .OOO.....CDPBAACDPBQQQ.P..E.FFGGE.HH B98 O98 H99 Q99 A99 D99  
6 6 0 .OOO..B..CDPBAACDP.QQQ.P..E.FFGGE.HH B99 O98 H99 Q99 A99 D99  
6 6 0 B.OOOPB..CDP.AACDP..QQQ...EFF.GGEHH. P99 Q98 O99 F99 A99 D99  
6 6 0 BOOOD.B..CD.AA.C.P.QQQ.P..EFFPGGE.HH D98 O98 P99 F99 H99 Q99  
6 6 0 ..OOOPB..C.PBAACDPQQQ.D...EFF.GGE.HH B99 F99 H99 P99 A99 O99  
6 6 0 ...OOO...C..BAACDPBQQQDP..EFFPGGE.HH B98 P99 A99 F99 H99 Q99  
6 6 0 ..OOO....CDP.AACDPB.QQQPB.EFF.GGEHH. B97 Q98 O99 F99 A99 D99  
6 6 0 ...OOO...CDPAA.CDPBQQQ.PB.EFF.GGEHH. D99 A98 F99 B97 A99 Q99  
6 6 0 ...OOO...C..AA.CD.BQQQDPB.EFFPGGEHHP P98 A98 F99 B97 A99 Q99  
6 6 0 B.OOOPB..CDP.AACDP.QQQ....E.FFGGE.HH A99 P99 D99 Q99 H99 O99  
6 6 0 ...OOO...C..AA.CDPBQQQDPB.EFFPGGEHH. P99 A98 F99 B97 A99 Q99  
6 6 0 ...OOO...C...AACDPBQQQDPB.EFFPGGE.HH B97 P99 A99 F99 H99 Q99  
6 6 0 BOOO.PB..CDP.AACDP.QQQ....E.FFGGE.HH P99 O98 H99 Q99 A99 D99  
6 6 0 .OOO.....C.PAA.CDPBQQQDPB.EFF.GGEHH. O98 A98 F99 B97 A99 Q99  
6 6 0 ..OOO....C.PAA.CDPBQQQDPB.EFF.GGEHH. O99 A98 F99 B97 A99 Q99  
6 6 0 ...OOO...C.PAA.CDPBQQQDPB.EFF.GGE.HH H99 A98 F99 B97 A99 Q99  
6 6 0 .OOO.....CDP.AACDPB.QQQPB.E.FFGGE.HH B97 O98 H99 Q98 A99 D99  
6 6 0 .OOO.....CDPBAACDPB.QQQP..E.FFGGE.HH B98 O98 H99 Q98 A99 D99  
6 6 0 B.OOOPB....P.AACDPQQQCD...EFF.GGE.HH C99 F99 H99 P99 A99 O99  
6 6 0 B.OOOPB..CDPAA.CDP..QQQ...EFF.GGE.HH P99 Q98 D99 H99 F99 O99  
6 6 0 .OOO..B..CDPBAACDP..QQQP..E.FFGGE.HH B99 O98 H99 Q98 A99 D99  
6 6 0 BOOO..B..C...AACDP.QQQDP..EFFPGGE.HH A99 O98 P99 F99 H99 Q99  
6 6 0 B.OOO.B..CD.AA.CDP..QQQP..EFFPGGE.HH P99 Q98 D99 H99 F99 O99  
6 6 0 ..OOO....CDPBAACDPB.QQQP..EFF.GGEHH. B98 Q98 O99 F99 A99 D99  
6 6 0 B.OOOPB..C.P.AACDP.QQQD...EFF.GGE.HH P99 A99 Q99 H99 F99 O99  
6 6 0 B.OOO.B...D.AA.CDPQQQC.P..EFFPGGE.HH D99 C99 P99 H99 F99 O99  
6 6 0 ..OOO.B..C..BAACDPQQQ.DP..EFFPGGE.HH B99 P99 A99 H99 F99 O99  
6 6 0 B.OOOPB...DPAA.CDPQQQC....EFF.GGE.HH D99 C99 P99 H99 F99 O99  
6 6 0 B.OOOPB..CDPAA.CDP...QQQ..EFF.GGE.HH F99 Q97 P99 D99 H99 O99  
6 6 0 ..OOO....C.P.AACDPBQQQDPB.EFF.GGE.HH B97 A99 Q99 H99 F99 O99  
6 6 0 ..OOO....C.PBAACDPBQQQDP..EFF.GGE.HH B98 A99 Q99 H99 F99 O99  
6 6 0 .OOO.PB....PB.AADPQQQCD...ECFFGGE.HH B99 P99 O98 H99 A98 C98  
6 6 0 OOO...B..CDPBAACDP..QQQP..EFF.GGEHH. O97 Q98 B99 F99 A99 D99  
6 6 0 ..OOO.B..CDPBAACDP..QQQP..EFF.GGEHH. O99 Q98 B99 F99 A99 D99  
6 6 0 B.OOOPB...DP.AACDPQQQC....E.FFGGE.HH P99 D99 C99 A99 H99 O99  
6 6 0 ..OOO.B..CDPBAACDP.QQQ.P..E.FFGGE.HH D99 Q99 B99 A99 H99 O99  
6 6 0 BOOO.PB..CDP.AACDP..QQQ...EFF.GGEHH. P99 Q98 O98 F99 A99 D99  
6 6 0 .OOO.....CDP.AACDPB.QQQPB.EFF.GGEHH. B97 Q98 O98 F99 A99 D99  
6 6 0 B.OOOPB...DP.AA.DPQQQC....ECFFGGE.HH P99 D99 C98 A99 H99 O99  
6 6 0 .OOO.....CDPBAACDPB.QQQP..EFF.GGEHH. B98 Q98 O98 F99 A99 D99  
6 6 0 .OOO..B..CDPBAACDP..QQQP..EFF.GGEHH. B99 Q98 O98 F99 A99 D99  
6 6 0 BOOO.PB...DP.AACDPQQQC....E.FFGGE.HH P99 O98 H99 C99 A99 D99  
6 6 0 ..OOO.B..CDPBAACDP.QQQ.P..EFF.GGEHH. D99 F99 O99 B99 A99 Q99  
6 6 0 ..OOO.B..CDPBAACDP..QQQP..E.FFGGE.HH H99 Q98 B99 O99 A99 D99  
6 6 0 B.OOO.B...D..AACD.QQQC.P..EFFPGGEHHP O99 P98 C99 F99 A99 D99  
6 6 0 ...OOOB...D.BAACD.QQQC.P..EFFPGGEHHP B99 P98 C99 F99 A99 D99  
6 6 0 BOOO.PB..CDP.AACDP...QQQ..E.FFGGE.HH Q97 H99 P99 O98 A99 D99  
6 6 0 ...OOOB...D.BAACDPQQQC.P..EFFPGGEHH. B99 C99 P99 F99 A99 D99  
6 6 0 B.OOO.B..CD..AACDP.QQQ.P..EFFPGGEHH. O99 Q99 P99 F99 A99 D99  
6 6 0 OOO......C.PBAACDPBQQQDP..EFF.GGE.HH F99 H99 O97 B98 A99 Q99  
6 6 0 .OOOD....CDPBAAC.PBQQQ.P..E.FFGGE.HH D98 H99 O98 B98 A99 Q99  
6 6 0 ...OOO...CD..AACDPBQQQ.PB.EFFPGGEHH. B97 Q99 P99 F99 A99 D99  
6 6 0 ...OOO...CD.BAACDPBQQQ.P..EFFPGGEHH. B98 Q99 P99 F99 A99 D99  
6 6 0 .OOO.....C.PBAACDPBQQQDP..EFF.GGE.HH H99 F99 O98 B98 A99 Q99  
6 6 0 ...OOOB..CD.BAACDP.QQQ.P..EFFPGGEHH. B99 Q99 P99 F99 A99 D99  
6 6 0 .OOO..B...DPB.AADPQQQC.P..ECFFGGE.HH B99 O98 A98 H99 C98 D99  
6 6 0 .OOO..B...DPBAA.DPQQQC.P..ECFFGGE.HH B99 H99 O98 C98 A99 D99  
6 6 0 B.OOO.B...DP..AADP..QQQP..ECFFGGECHH A98 Q98 C97 D99 H99 O99  
6 6 0 BOOO..B..CD.AA.CDP..QQQP..EFFPGGE.HH O98 P99 Q98 F99 D99 H99  
6 6 0 BOOOD.B...D..AAC..QQQC.P..EFFPGGEHHP P98 D98 A99 O98 F99 C99  
6 6 0 BOOO.PB....P.AACDPQQQCD...EFF.GGE.HH C99 H99 A99 P99 F99 O98  
6 6 0 .OOO.......PB.AADPBQQQDP..ECFFGGECHH B98 O98 A98 Q99 C97 H99  
6 6 0 OOO...B...DPB.AADPQQQC.P..ECFFGGE.HH D99 H99 O97 B99 A98 C98  
6 6 0 OOO..PB....PB.AADPQQQCD...ECFFGGE.HH P99 H99 O97 B99 A98 C98  
6 6 0 B.OOO.B...DP..AADP.QQQ.P..ECFFGGECHH A98 Q99 C97 D99 H99 O99  
6 6 0 B.OOO.B..CD..AACDP..QQQP..EFFPGGEHH. O99 Q98 P99 F99 A99 D99  
6 6 0 ...OOO...CD..AACDPB.QQQPB.EFFPGGEHH. B97 Q98 P99 F99 A99 D99  
6 6 0 BOOO..B..CD..AACD..QQQ.P..EFFPGGEHHP O98 A99 D99 Q99 P98 F99  
6 6 0 BOOO..B...D.AA.CDPQQQC.P..EFFPGGE.HH P99 H99 D99 O98 F99 C99  
6 6 0 ...OOO...CD.BAACDPB.QQQP..EFFPGGEHH. B98 Q98 P99 F99 A99 D99  
6 6 0 ...OOOB..CD.BAACDP..QQQP..EFFPGGEHH. B99 Q98 P99 F99 A99 D99  
6 6 0 ..OOO....C.PAA.CDPBQQQDPB.E.FFGGE.HH H99 A98 O99 B97 A99 Q99  
6 6 0 ..OOO.B..CDPBAACDPQQQ..P..EFF.GGE.HH B99 O99 H99 F99 A99 D99  
6 6 0 .OOO..B..CDPBAACDPQQQ..P..EFF.GGE.HH B99 O98 H99 F99 A99 D99  
6 6 0 .OOO.PB..C.PBAACDPQQQ.D...EFF.GGE.HH H99 B99 A99 P99 F99 O98  
6 6 0 .OOO.....C.PAA.CDPBQQQDPB.E.FFGGE.HH H99 A98 O98 B97 A99 Q99  
6 6 0 BOOOD.B...D.AA.C.PQQQC.P..EFFPGGE.HH P99 D98 H99 O98 F99 C99  
6 6 0 BOOODPB..CDPAA.C.P..QQQ...EFF.GGE.HH Q98 F99 H99 P99 D98 O98  
6 6 0 BOOODPB..CDPAA.C.P.QQQ....EFF.GGE.HH Q99 F99 H99 P99 D98 O98  
6 6 0 BOOOD.B...DP...AAP.QQQ.P..ECFFGGECHH A97 D98 O98 Q99 C97 H99  
6 6 0 B.OOO.B...DP.AACDPQQQC.P..EFF.GGE.HH O99 C99 H99 F99 A99 D99  
6 6 0 ...OOOB...DPBAACDPQQQC.P..EFF.GGE.HH B99 C99 H99 F99 A99 D99  
6 6 0 OOO...B..CDPBAACDP..QQQP..E.FFGGE.HH Q98 H99 O97 B99 A99 D99  
6 6 0 OOO.D.B..CDPBAAC.P.QQQ.P..E.FFGGE.HH D98 Q99 H99 O97 B99 A99  
6 6 0 ...OOO...CDP.AACDPBQQQ.PB.EFF.GGE.HH B97 Q99 H99 F99 A99 D99  
6 6 0 ...OOO...CDPBAACDPBQQQ.P..EFF.GGE.HH B98 Q99 H99 F99 A99 D99  
6 6 0 BOOO..B...DP..AADP.QQQ.P..ECFFGGECHH O98 A98 D99 Q99 C97 H99  
6 6 0 BOOODPB...DP.AAC.PQQQC....E.FFGGE.HH A99 C99 H99 P99 D98 O98  
6 6 0 B..OOOB...D..AACDPQQQC.P..EFFPGGE.HH C99 H99 P99 F99 A99 D99  
6 6 0 BOOO.PB..CDPAA.CDP...QQQ..EFF.GGE.HH F99 Q97 P99 H99 O98 D99  
6 6 0 .OOO..B.....BAACD.QQQCDP..EFFPGGEHHP B99 P98 A99 O98 F99 C99  
6 6 0 BOOO.PB...DPAA..DP..QQQ...ECFFGGECHH P99 Q98 C97 H99 O98 D99  
6 6 0 OOO...B.....BAACDPQQQCDP..EFFPGGEHH. O97 B99 A99 P99 F99 C99  
6 6 0 BOOO..B..CD..AACDPQQQ..P..EFFPGGE.HH O98 H99 P99 F99 A99 D99  
6 6 0 B.OOO.B..CD..AACDPQQQ..P..EFFPGGE.HH O99 H99 P99 F99 A99 D99  
6 6 0 BOOO.PB.ECDPAAECDP...QQQ....FFGG..HH E97 Q97 P99 H99 O98 D99  
6 6 0 ...OOOB..CD.BAACDPQQQ..P..EFFPGGE.HH B99 H99 P99 F99 A99 D99  
6 6 0 BOOODPB...DP..AA.PQQQC....ECFFGGE.HH A98 C98 H99 P99 D98 O98  
6 6 0 BOOO.PB..CDPAA.CDP..QQQ...EFF.GGE.HH Q98 F99 P99 H99 O98 D99  
6 6 0 BOOO..B...DP..AADP..QQQP..ECFFGGECHH A98 Q98 C97 H99 O98 D99  
6 6 0 BOOODPB...DP.AA..PQQQC....ECFFGGE.HH A99 C98 H99 P99 D98 O98  
6 6 0 .OOOD.B..CDPBAAC.P.QQQ.P..EFF.GGEHH. F99 D98 Q99 O98 B99 A99  
6 6 0 BOOO.PB..CDPAA.CDP.QQQ....EFF.GGE.HH Q99 F99 P99 H99 O98 D99  
6 6 0 .OOODPB..CDPBAAC.P.QQQ....E.FFGGEHH. P99 D98 Q99 O98 B99 A99  
6 6 0 BOOOD.B...D..AAC.PQQQC.P..EFFPGGEHH. D98 P99 A99 O98 F99 C99  
6 6 0 .OOO..B...DPBAA.DPQQQ..P..ECFFGGECHH C97 D99 H99 O98 B99 A99  
6 6 0 BOOO.PB...DP..AADPQQQ.....ECFFGGECHH P99 A98 C97 H99 O98 D99  
6 6 0 ...OOOB.....BAACDPQQQCDP..EFFPGGE.HH B99 H99 A99 P99 F99 C99  
6 6 0 BOOO..B...D..AACDPQQQC.P..EFFPGGEHH. D99 P99 A99 O98 F99 C99  
6 6 0 .OOO..B.....BAACDPQQQCDP..EFFPGGEHH. B99 P99 A99 O98 F99 C99  
6 6 0 BOOODPB..CDP.AAC.P...QQQ..EFF.GGEHH. Q97 D98 A99 P99 F99 O98  
6 6 0 BOOO.PB....P..AADP.QQQD...ECFFGGECHH A98 P99 O98 Q99 C97 H99  
6 6 0 BOOO.PB....P.AA.DP.QQQD...ECFFGGECHH A99 P99 O98 Q99 C97 H99  
6 6 0 BOOO.PB..C.P.AACDP.QQQD...EFF.GGE.HH F99 A99 P99 O98 H99 Q99  
6 6 0 .OOO.P...C.P.AACDPBQQQD.B.E.FFGGE.HH B97 A99 P99 O98 H99 Q99  
6 6 0 OOO......C.PAA.CDPBQQQDPB.EFF.GGEHH. F99 A98 O97 B97 A99 Q99  
6 6 0 OOO.D....CDPAA.C.PBQQQ.PB.E.FFGGEHH. D98 A98 O97 B97 A99 Q99  
6 6 0 BOOODPB..CDP.AAC.P.QQQ....E.FFGGE.HH D98 A99 P99 O98 H99 Q99  
6 6 0 OOO......CDPAA.CDPBQQQ.PB.E.FFGGEHH. D99 A98 O97 B97 A99 Q99  
6 6 0 OOO..P...C.PAA.CDPBQQQD.B.E.FFGGEHH. P99 A98 O97 B97 A99 Q99  
6 6 0 ..OOO.B.....BAACDPQQQCDP..EFFPGGEHH. O99 B99 A99 P99 F99 C99  
6 6 0 BOOO.PB.ECDPAAECDP...QQQ...FF.GG.HH. E97 Q97 D99 P99 F99 O98  
6 6 0 OOO......CDPBAACDPBQQQ.P..EFF.GGEHH. O97 D99 F99 B98 A99 Q99  
6 6 0 OOO......C..BAACD.BQQQDP..EFFPGGEHHP O97 P98 F99 B98 A99 Q99  
6 6 0 .OOO.......P..AADPBQQQDPB.ECFFGGECHH B97 O98 A98 Q99 C97 H99  
6 6 0 OOOC.....C.PAA..DPBQQQDPB.E.FFGGEHH. C99 A98 O97 B97 A99 Q99  
6 6 0 BOOOD.B..CDP.AAC.P.QQQ.P..EFF.GGE.HH Q99 F99 H99 A99 D98 O98  
6 6 0 .OOO.PB..C.PBAACDP.QQQD...E.FFGGE.HH B99 A99 P99 O98 H99 Q99  
6 6 0 BOOOD.B..CD..AAC.PQQQ..P..EFFPGGE.HH P99 F99 H99 A99 D98 O98  
6 6 0 BOOODPB..CDP.AAC.PQQQ.....EFF.GGE.HH P99 F99 H99 A99 D98 O98  
6 6 0 BOOO.PB..CDPAAECDP..EQQQ...FF.GG.HH. E98 Q97 D99 P99 F99 O98  
6 6 0 BOOO.PB..CDP.AACDP...QQQ..EFF.GGEHH. A99 Q97 D99 P99 F99 O98  
6 6 0 BOOOD.B...DP.AAC.PQQQC.P..EFF.GGE.HH C99 F99 H99 A99 D98 O98  
6 6 0 .OOOD.B..CDPBAAC.PQQQ..P..EFF.GGE.HH B99 F99 H99 A99 D98 O98  
6 6 0 BOOO.PB..CDPAA.CDP..EQQQ..EFF.GG.HH. E99 Q97 D99 P99 F99 O98  
6 6 0 ...OOOB..C..BAACDP.QQQDP..EFFPGGE.HH P99 Q99 B99 F99 A99 H99  
6 6 0 OOO...B..C.PBAACDP.QQQDP..EFF.GGE.HH O97 Q99 B99 F99 A99 H99  
6 6 0 OOO...B..C..BAACDP.QQQDP..EFFPGGEHH. O97 P99 F99 B99 A99 Q99  
6 6 0 ...OOO...CDPAA.CDPBQQQ.PB.E.FFGGE.HH D99 A98 B97 A99 H99 Q99  
6 6 0 .OOO..B..C..BAACDPQQQ.DP..EFFPGGE.HH B99 A99 H99 P99 F99 O98  
6 6 0 .OOO..B..C.PBAACDP.QQQDP..EFF.GGE.HH O98 Q99 B99 F99 A99 H99  
6 6 0 ..OOO.B..C.PBAACDP.QQQDP..EFF.GGE.HH O99 Q99 B99 F99 A99 H99  
6 6 0 OOO...B..C..BAACD..QQQDP..EFFPGGEHHP O97 P98 F99 B99 A99 Q99  
